,date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
0,2020-03-24,MG,Belo Horizonte,city,87,0,True,2512070.0,3106200.0,3.46328,
1,2020-03-24,MG,Betim,city,1,0,True,439340.0,3106705.0,0.22760999999999998,
2,2020-03-24,MG,Bom Despacho,city,1,0,True,50605.0,3107406.0,1.9760900000000001,
3,2020-03-24,MG,Campos Altos,city,1,0,True,15461.0,3111507.0,6.467890000000001,
4,2020-03-24,MG,Contagem,city,2,0,True,663855.0,3118601.0,0.30127,
5,2020-03-24,MG,Coronel Fabriciano,city,1,0,True,109855.0,3119401.0,0.9102899999999999,
6,2020-03-24,MG,Divinópolis,city,1,0,True,238230.0,3122306.0,0.41976,
7,2020-03-24,MG,Importados,city,2,0,True,,,,
8,2020-03-24,MG,Ipatinga,city,1,0,True,263410.0,3131307.0,0.37964000000000003,
9,2020-03-24,MG,Juiz de Fora,city,8,0,True,568873.0,3136702.0,1.40629,
10,2020-03-24,MG,Lagoa da Prata,city,1,0,True,52165.0,3137205.0,1.9169900000000002,
11,2020-03-24,MG,Mariana,city,2,0,True,60724.0,3140001.0,3.29359,
12,2020-03-24,MG,Nova Lima,city,7,0,True,94889.0,3144805.0,7.377039999999999,
13,2020-03-24,MG,Patrocínio,city,1,0,True,90757.0,3148103.0,1.10184,
14,2020-03-24,MG,Poços de Caldas,city,1,0,True,167397.0,3151800.0,0.59738,
15,2020-03-24,MG,Sete Lagoas,city,2,0,True,239639.0,3167202.0,0.8345899999999999,
16,2020-03-24,MG,Timóteo,city,1,0,True,89842.0,3168705.0,1.11307,
17,2020-03-24,MG,Uberaba,city,3,0,True,333783.0,3170107.0,0.89879,
18,2020-03-24,MG,Uberlândia,city,7,0,True,691305.0,3170206.0,1.01258,
20,2020-03-23,MG,Belo Horizonte,city,60,0,False,2512070.0,3106200.0,2.38847,
21,2020-03-23,MG,Betim,city,1,0,False,439340.0,3106705.0,0.22760999999999998,
22,2020-03-23,MG,Bom Despacho,city,1,0,False,50605.0,3107406.0,1.9760900000000001,
23,2020-03-23,MG,Campos Altos,city,1,0,False,15461.0,3111507.0,6.467890000000001,
24,2020-03-23,MG,Contagem,city,2,0,False,663855.0,3118601.0,0.30127,
25,2020-03-23,MG,Coronel Fabriciano,city,1,0,False,109855.0,3119401.0,0.9102899999999999,
26,2020-03-23,MG,Divinópolis,city,1,0,False,238230.0,3122306.0,0.41976,
27,2020-03-23,MG,Importados,city,28,0,False,,,,
28,2020-03-23,MG,Ipatinga,city,1,0,False,263410.0,3131307.0,0.37964000000000003,
29,2020-03-23,MG,Juiz de Fora,city,8,0,False,568873.0,3136702.0,1.40629,
30,2020-03-23,MG,Lagoa da Prata,city,1,0,False,52165.0,3137205.0,1.9169900000000002,
31,2020-03-23,MG,Mariana,city,2,0,False,60724.0,3140001.0,3.29359,
32,2020-03-23,MG,Nova Lima,city,7,0,False,94889.0,3144805.0,7.377039999999999,
33,2020-03-23,MG,Patrocínio,city,1,0,False,90757.0,3148103.0,1.10184,
34,2020-03-23,MG,Poços de Caldas,city,1,0,False,167397.0,3151800.0,0.59738,
35,2020-03-23,MG,Sete Lagoas,city,2,0,False,239639.0,3167202.0,0.8345899999999999,
36,2020-03-23,MG,Timóteo,city,1,0,False,89842.0,3168705.0,1.11307,
37,2020-03-23,MG,Uberaba,city,3,0,False,333783.0,3170107.0,0.89879,
38,2020-03-23,MG,Uberlândia,city,6,0,False,691305.0,3170206.0,0.86792,
